"Step","train - metrics/precision(B)","train - metrics/precision(B)__MIN","train - metrics/precision(B)__MAX","train5 - metrics/precision(B)","train5 - metrics/precision(B)__MIN","train5 - metrics/precision(B)__MAX"
"1","0.73324","0.73324","0.73324","0.73324","0.73324","0.73324"
"2","0.5047","0.5047","0.5047","0.5047","0.5047","0.5047"
"3","0.33665","0.33665","0.33665","0.33665","0.33665","0.33665"
"4","0.72155","0.72155","0.72155","0.72155","0.72155","0.72155"
"5","0.91384","0.91384","0.91384","0.91384","0.91384","0.91384"
"6","0.70075","0.70075","0.70075","0.70075","0.70075","0.70075"
"7","0.9709","0.9709","0.9709","0.9709","0.9709","0.9709"
"8","0.98452","0.98452","0.98452","0.98452","0.98452","0.98452"
"9","0.98501","0.98501","0.98501","0.98501","0.98501","0.98501"
"10","0.99287","0.99287","0.99287","0.99287","0.99287","0.99287"
"11","0.99267","0.99267","0.99267","0.99267","0.99267","0.99267"
"12","0.97323","0.97323","0.97323","0.97323","0.97323","0.97323"
"13","0.96125","0.96125","0.96125","0.96125","0.96125","0.96125"
"14","0.99851","0.99851","0.99851","0.99851","0.99851","0.99851"
"15","0.99931","0.99931","0.99931","0.99931","0.99931","0.99931"
"16","0.99462","0.99462","0.99462","0.99462","0.99462","0.99462"
"17","1","1","1","1","1","1"
"18","0.99992","0.99992","0.99992","0.99992","0.99992","0.99992"
"19","0.99973","0.99973","0.99973","0.99973","0.99973","0.99973"
"20","0.9999235815109887","0.9999235815109887","0.9999235815109887","0.9999235815109887","0.9999235815109887","0.9999235815109887"
