"Step","train - metrics/recall(B)","train - metrics/recall(B)__MIN","train - metrics/recall(B)__MAX","train5 - metrics/recall(B)","train5 - metrics/recall(B)__MIN","train5 - metrics/recall(B)__MAX"
"1","0.63784","0.63784","0.63784","0.63784","0.63784","0.63784"
"2","0.6973","0.6973","0.6973","0.6973","0.6973","0.6973"
"3","0.52973","0.52973","0.52973","0.52973","0.52973","0.52973"
"4","0.87568","0.87568","0.87568","0.87568","0.87568","0.87568"
"5","0.91892","0.91892","0.91892","0.91892","0.91892","0.91892"
"6","0.79746","0.79746","0.79746","0.79746","0.79746","0.79746"
"7","0.97838","0.97838","0.97838","0.97838","0.97838","0.97838"
"8","0.99459","0.99459","0.99459","0.99459","0.99459","0.99459"
"9","0.98919","0.98919","0.98919","0.98919","0.98919","0.98919"
"10","0.99459","0.99459","0.99459","0.99459","0.99459","0.99459"
"11","0.97297","0.97297","0.97297","0.97297","0.97297","0.97297"
"12","0.98274","0.98274","0.98274","0.98274","0.98274","0.98274"
"13","0.97297","0.97297","0.97297","0.97297","0.97297","0.97297"
"14","0.99459","0.99459","0.99459","0.99459","0.99459","0.99459"
"15","0.98919","0.98919","0.98919","0.98919","0.98919","0.98919"
"16","0.99965","0.99965","0.99965","0.99965","0.99965","0.99965"
"17","0.9884","0.9884","0.9884","0.9884","0.9884","0.9884"
"18","1","1","1","1","1","1"
"19","1","1","1","1","1","1"
"20","1","1","1","1","1","1"
